Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Centro,-3.123989999999935,-60.02062999999998,Supermercado Fujii,-3.1229268465029207,-60.020799169575525,Department Store
Centro,-3.123989999999935,-60.02062999999998,Casillero Rock Bar,-3.1219435204941943,-60.0209161518083,Pub
Centro,-3.123989999999935,-60.02062999999998,Pastelaria João e Maria,-3.126163791228284,-60.01945327920785,Snack Place
Centro,-3.123989999999935,-60.02062999999998,O Pastelão,-3.1207230024592323,-60.021997354703856,Food Truck
Centro,-3.123989999999935,-60.02062999999998,Hotel e Cafeteria Seringal,-3.1291463603896,-60.02269600047181,Breakfast Spot
Centro,-3.123989999999935,-60.02062999999998,Teatro Amazonas,-3.13026400328893,-60.02314908159843,Theater
Centro,-3.123989999999935,-60.02062999999998,Caxiri Manaus,-3.129926129555036,-60.02296329493471,Northern Brazilian Restaurant
Centro,-3.123989999999935,-60.02062999999998,Largo de São Sebastião,-3.1305125923625106,-60.02278775446335,Plaza
Centro,-3.123989999999935,-60.02062999999998,Picanha Mania,-3.1284230017656403,-60.01597550906868,BBQ Joint
Centro,-3.123989999999935,-60.02062999999998,Lindopan Casa de Pães,-3.1191455069100082,-60.021671677529106,Bakery
Centro,-3.123989999999935,-60.02062999999998,Centro Amazonense de Oftamologia - CAO,-3.128308439762272,-60.02176401206348,Optical Shop
Centro,-3.123989999999935,-60.02062999999998,Metro Importação,-3.1221505744817835,-60.015480538681814,Paper / Office Supplies Store
Centro,-3.123989999999935,-60.02062999999998,Galeria do Largo,-3.130071348877538,-60.02190316928695,Art Gallery
Centro,-3.123989999999935,-60.02062999999998,Norte Fitness,-3.129171494986347,-60.020334707380115,Gym
Centro,-3.123989999999935,-60.02062999999998,"Loja Hey You - Camisetas, música & diversão",-3.1251981525917003,-60.026595210434245,Boutique
Centro,-3.123989999999935,-60.02062999999998,Panadero,-3.125973479578111,-60.01578487126377,Candy Store
Centro,-3.123989999999935,-60.02062999999998,Cats Torteria,-3.1309782291110153,-60.01900223216676,Dessert Shop
Centro,-3.123989999999935,-60.02062999999998,Loppiano Pizza,-3.1175177864411245,-60.01686039577029,Pizza Place
Centro,-3.123989999999935,-60.02062999999998,Snoopy Bar,-3.121759451540847,-60.0201082599069,Bar
Centro,-3.123989999999935,-60.02062999999998,Praça do Congresso,-3.128517785077072,-60.02406120300293,Plaza
Centro,-3.123989999999935,-60.02062999999998,Praça São Sebastião,-3.1307296458524148,-60.02235303402686,Plaza
Centro,-3.123989999999935,-60.02062999999998,café da eli,-3.1247581932207646,-60.027626752198586,Diner
Centro,-3.123989999999935,-60.02062999999998,Tambaqui de Banda,-3.1309541359433726,-60.02283096480476,Northern Brazilian Restaurant
Centro,-3.123989999999935,-60.02062999999998,Bar Papo De Esquina,-3.1217610901658595,-60.02224761941976,Bar
Centro,-3.123989999999935,-60.02062999999998,Tacaca Na Bossa,-3.1308133691872175,-60.02243808397454,Concert Hall
Centro,-3.123989999999935,-60.02062999999998,Museu Casa Eduardo Ribeiro,-3.1307241749736194,-60.02518945334306,Museum
Centro,-3.123989999999935,-60.02062999999998,Praça da Saudade,-3.127521489914097,-60.025906562805176,Plaza
Centro,-3.123989999999935,-60.02062999999998,Bar do Caldeira,-3.1305855619817082,-60.02599089966776,Bar
Centro,-3.123989999999935,-60.02062999999998,Casa da Pamonha,-3.131253695257814,-60.02333625192673,Vegetarian / Vegan Restaurant
Centro,-3.123989999999935,-60.02062999999998,Lanche do Careca Lindo,-3.12316463923885,-60.013418978212044,Snack Place
Centro,-3.123989999999935,-60.02062999999998,Sorveteria Glacial,-3.1172896967860004,-60.016548493001686,Ice Cream Shop
Centro,-3.123989999999935,-60.02062999999998,Cabaret Night Club,-3.1319646593536934,-60.02338943263277,Nightclub
Centro,-3.123989999999935,-60.02062999999998,Sorveteria Glacial,-3.123452620611303,-60.02028512816969,Dessert Shop
Centro,-3.123989999999935,-60.02062999999998,Academias Way Fitness,-3.1271573985477827,-60.02688899600811,Gym / Fitness Center
Centro,-3.123989999999935,-60.02062999999998,Casa Monsenhor,-3.1310659833416388,-60.022279993912186,Coffee Shop
Centro,-3.123989999999935,-60.02062999999998,Hotel Villa Amazônia,-3.1297949721044342,-60.02478414798626,Hotel
Centro,-3.123989999999935,-60.02062999999998,Kilo Mania,-3.128111047319184,-60.02814527347667,Brazilian Restaurant
Centro,-3.123989999999935,-60.02062999999998,Bar do Armando,-3.1299301172998333,-60.02218156751443,Bar
Centro,-3.123989999999935,-60.02062999999998,Sabor e Requinte Restaurante,-3.132341461060247,-60.02224715010493,Restaurant
Centro,-3.123989999999935,-60.02062999999998,Skina dos Sucos 2,-3.1346933657966742,-60.02016642374045,Juice Bar
Centro,-3.123989999999935,-60.02062999999998,Forneria e Bistro Di Villa,-3.11325431583164,-60.0159785329616,Bistro
Centro,-3.123989999999935,-60.02062999999998,Palácio da Justiça,-3.129965148474089,-60.02397900849812,Art Gallery
Centro,-3.123989999999935,-60.02062999999998,Lanche Papaléguas,-3.121912494446844,-60.01531937591505,Snack Place
Centro,-3.123989999999935,-60.02062999999998,Banzeiro Cozinha Amazônica,-3.1121660896885435,-60.0166824620417,Brazilian Restaurant
Centro,-3.123989999999935,-60.02062999999998,O Alienígena,-3.1354385066278043,-60.020030228782,Used Bookstore
Centro,-3.123989999999935,-60.02062999999998,Local Hostel Manaus,-3.1309209764396138,-60.021577168771884,Hostel
Centro,-3.123989999999935,-60.02062999999998,Bob's,-3.1303557730074574,-60.019073674640104,Burger Joint
Centro,-3.123989999999935,-60.02062999999998,Parque Senador Jefferson Peres,-3.1359204828038827,-60.01665562976757,Park
Centro,-3.123989999999935,-60.02062999999998,Restaurante Calçada Alta,-3.1318045270295416,-60.02225744368166,Portuguese Restaurant
Centro,-3.123989999999935,-60.02062999999998,Museu da Polícia Militar do Amazonas,-3.1354818161514757,-60.02115514043681,Museum
Centro,-3.123989999999935,-60.02062999999998,Bar Petiscos,-3.1331577394929826,-60.01776879408985,Bar
Centro,-3.123989999999935,-60.02062999999998,Academia Eco-Fitness,-3.119169355045696,-60.01170803571618,Gym
Centro,-3.123989999999935,-60.02062999999998,Maison Gomes - Artes Culinárias,-3.129450650229685,-60.02912166399394,Bistro
Centro,-3.123989999999935,-60.02062999999998,Kilo Zito,-3.128156607199222,-60.01429002823394,Brazilian Restaurant
Centro,-3.123989999999935,-60.02062999999998,Bar do Hotel Belíssimo,-3.127024543168989,-60.026179158459634,Hotel Bar
Centro,-3.123989999999935,-60.02062999999998,Atlética Atenas,-3.1154279848814896,-60.02695741928572,Gym / Fitness Center
Centro,-3.123989999999935,-60.02062999999998,Centro Cultural Palácio Rio Negro,-3.1358881972796246,-60.01633644104004,History Museum
Centro,-3.123989999999935,-60.02062999999998,Curso Preparatório Marechal Rondon,-3.126225153382972,-60.02663003613519,Middle School
Centro,-3.123989999999935,-60.02062999999998,Les Artistes Café - Teatro,-3.134424313297977,-60.027217080210136,Theater
